* Measurement data measured by REW V5.20 Beta 61
* Source: /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt
* Format: Comma/Tab/Space delimited data
* Dated: Mar 30, 2021 12:20:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/theolee/Desktop/Photos/FR Graphs/precogcurve4.txt Format: Comma/Tab/Space delimited data 61 values loaded, 20 Hz to 20,040 Hz log spaced
* Measurement: precogcurve4
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2620.000000	80.853760	0.0000
2650.000000	80.689682	0.0000
2690.000000	80.486038	0.0000
2720.000000	80.345009	0.0000
2760.000000	80.173088	0.0000
2800.000000	80.022858	0.0000
2850.000000	79.892540	0.0000
2900.000000	79.788368	0.0000
2950.000000	79.703575	0.0000
3000.000000	79.634529	0.0000
3040.000000	79.588455	0.0000
3070.000000	79.558212	0.0000
3110.000000	79.522484	0.0000
3150.000000	79.488892	0.0000
3200.000000	79.425644	0.0000
3250.000000	79.365929	0.0000
3300.000000	79.312416	0.0000
3350.000000	79.265739	0.0000
3400.000000	79.226509	0.0000
3450.000000	79.195236	0.0000
3500.000000	79.172417	0.0000
3550.000000	79.159111	0.0000
3600.000000	79.162827	0.0000
3650.000000	79.175957	0.0000
3700.000000	79.197426	0.0000
3750.000000	79.226868	0.0000
3820.000000	79.280807	0.0000
3870.000000	79.328003	0.0000
3950.000000	79.417625	0.0000
4000.000000	79.481483	0.0000
4060.000000	79.556366	0.0000
4120.000000	79.640518	0.0000
4180.000000	79.735062	0.0000
4250.000000	79.859100	0.0000
4310.000000	79.977684	0.0000
4370.000000	80.107956	0.0000
4440.000000	80.275162	0.0000
4500.000000	80.436295	0.0000
4550.000000	80.675827	0.0000
4620.000000	81.023209	0.0000
4680.000000	81.313507	0.0000
4750.000000	81.630272	0.0000
4820.000000	81.910004	0.0000
4870.000000	82.079910	0.0000
4940.000000	82.266830	0.0000
5000.000000	82.354965	0.0000
5080.000000	82.168167	0.0000
5150.000000	81.934929	0.0000
5220.000000	81.663132	0.0000
5300.000000	81.318970	0.0000
5380.000000	80.953133	0.0000
5450.000000	80.625877	0.0000
5520.000000	80.300713	0.0000
5600.000000	79.953102	0.0000
5700.000000	79.681252	0.0000
5800.000000	79.449188	0.0000
5900.000000	79.241562	0.0000
6000.000000	79.055214	0.0000
6080.000000	78.919533	0.0000
6150.000000	78.809395	0.0000
6220.000000	78.706375	0.0000
6300.000000	78.596191	0.0000
6400.000000	78.466103	0.0000
6500.000000	78.345047	0.0000
6600.000000	78.231613	0.0000
6700.000000	78.124382	0.0000
6800.000000	78.021980	0.0000
6900.000000	77.923233	0.0000
7000.000000	77.826981	0.0000
7100.000000	77.730957	0.0000
7200.000000	77.621452	0.0000
7300.000000	77.511909	0.0000
7400.000000	77.403961	0.0000
7500.000000	77.298042	0.0000
7620.000000	77.174088	0.0000
7750.000000	77.044312	0.0000
7880.000000	76.919815	0.0000
8000.000000	76.811127	0.0000
8120.000000	76.727486	0.0000
8250.000000	76.641930	0.0000
8380.000000	76.558502	0.0000
8500.000000	76.481834	0.0000
8620.000000	76.404144	0.0000
8750.000000	76.317467	0.0000
8850.000000	76.248184	0.0000
9000.000000	76.137772	0.0000
9120.000000	76.021629	0.0000
9250.000000	75.888573	0.0000
9380.000000	75.750282	0.0000
9500.000000	75.619034	0.0000
9620.000000	75.485229	0.0000
9750.000000	75.338341	0.0000
9880.000000	75.190384	0.0000
10000.000000	75.053635	0.0000
10150.000000	74.883575	0.0000
10300.000000	74.715561	0.0000
10440.000000	74.561386	0.0000
10600.000000	74.389175	0.0000
10750.000000	74.232430	0.0000
10900.000000	74.080910	0.0000
11060.000000	73.925774	0.0000
11200.000000	73.797256	0.0000
11380.000000	73.653091	0.0000
11500.000000	73.563026	0.0000
11720.000000	73.407791	0.0000
11800.000000	73.354256	0.0000
12060.000000	73.189911	0.0000
12200.000000	73.106949	0.0000
12410.000000	72.988937	0.0000
12500.000000	72.940331	0.0000
12650.000000	72.860863	0.0000
12800.000000	72.784172	0.0000
13150.000000	72.615433	0.0000
13200.000000	72.592392	0.0000
13400.000000	72.502647	0.0000
13600.000000	72.416451	0.0000
13800.000000	72.333466	0.0000
14000.000000	72.253044	0.0000
14300.000000	72.131973	0.0000
14500.000000	72.053856	0.0000
14750.000000	71.959427	0.0000
15000.000000	71.868584	0.0000
15250.000000	71.781372	0.0000
15500.000000	71.697792	0.0000
15750.000000	71.617859	0.0000
16000.000000	71.541847	0.0000
16250.000000	71.474976	0.0000
16500.000000	71.412048	0.0000
16750.000000	71.352287	0.0000
17000.000000	71.295181	0.0000
17250.000000	71.240280	0.0000
17500.000000	71.187157	0.0000
17750.000000	71.135429	0.0000
18000.000000	71.085571	0.0000
18250.000000	71.061447	0.0000
18500.000000	71.043549	0.0000
18750.000000	71.030029	0.0000
19000.000000	71.020027	0.0000
19250.000000	71.012741	0.0000
19500.000000	71.007431	0.0000
19750.000000	71.003395	0.0000
20000.000000	71.000275	0.0000
