* Measurement data measured by REW V5.20
* Source: /Users/mrs/Desktop/hbb.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 28, 2022 8:20:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /Users/mrs/Desktop/hbb.txt Format: Comma/Tab/Space delimited data 12 values loaded, 20 Hz to 20,000 Hz
* Measurement: hbb
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
475.000000	99.904655	0
482.000000	99.929657	0
487.000000	99.946457	0
494.000000	99.966194	0
500.000000	99.977272	0
508.000000	99.982170	0
515.000000	99.979424	0
522.000000	99.973343	0
530.000000	99.964821	0
538.000000	99.955818	0
545.000000	99.947884	0
552.000000	99.939972	0
560.000000	99.931023	0
570.000000	99.919975	0
580.000000	99.909126	0
590.000000	99.898506	0
600.000000	99.888145	0
608.000000	99.880051	0
615.000000	99.873131	0
622.000000	99.866371	0
630.000000	99.858849	0
640.000000	99.849785	0
650.000000	99.841110	0
660.000000	99.832863	0
670.000000	99.825058	0
680.000000	99.817741	0
690.000000	99.810928	0
700.000000	99.804649	0
710.000000	99.798927	0
720.000000	99.793808	0
730.000000	99.789299	0
740.000000	99.785446	0
750.000000	99.782265	0
762.000000	99.779373	0
775.000000	99.777451	0
788.000000	99.776825	0
800.000000	99.777473	0
812.000000	99.779327	0
825.000000	99.782768	0
838.000000	99.787758	0
850.000000	99.793793	0
862.000000	99.801239	0
875.000000	99.810974	0
885.000000	99.819664	0
900.000000	99.834747	0
912.000000	99.848648	0
925.000000	99.865601	0
938.000000	99.884659	0
950.000000	99.904320	0
962.000000	99.926414	0
975.000000	99.954193	0
988.000000	99.988052	0
1000.000000	100.026756	0
1015.000000	100.085831	0
1030.000000	100.153603	0
1044.000000	100.220863	0
1060.000000	100.299690	0
1075.000000	100.374390	0
1090.000000	100.449493	0
1106.000000	100.529945	0
1120.000000	100.600594	0
1138.000000	100.691750	0
1150.000000	100.752708	0
1172.000000	100.864830	0
1180.000000	100.905716	0
1206.000000	101.038979	0
1220.000000	101.110954	0
1241.000000	101.219193	0
1250.000000	101.265671	0
1265.000000	101.343246	0
1280.000000	101.420952	0
1315.000000	101.602692	0
1320.000000	101.628693	0
1340.000000	101.732796	0
1360.000000	101.837021	0
1380.000000	101.941330	0
1400.000000	102.045692	0
1430.000000	102.202271	0
1450.000000	102.306648	0
1475.000000	102.437042	0
1500.000000	102.567307	0
1525.000000	102.697372	0
1550.000000	102.827194	0
1575.000000	102.956703	0
1600.000000	103.085846	0
1625.000000	103.214561	0
1650.000000	103.342796	0
1675.000000	103.470490	0
1700.000000	103.597580	0
1725.000000	103.724014	0
1750.000000	103.849731	0
1775.000000	103.974670	0
1800.000000	104.098778	0
1825.000000	104.221992	0
1850.000000	104.344261	0
1875.000000	104.465515	0
1900.000000	104.585701	0
1925.000000	104.704765	0
1950.000000	104.822647	0
1975.000000	104.939285	0
2000.000000	105.054619	0
2030.000000	105.191223	0
2060.000000	105.325775	0
2090.000000	105.458168	0
2120.000000	105.588303	0
2140.000000	105.673759	0
2180.000000	105.841400	0
